Is Managed,Manufacturer,Model,CPP BW,Serial Number,IP Address,Mac Address,Firmware Version 1,First Audit Date,Last Audit Date,Total Pages,Total Pages Mono,Total Pages Color,Total Cost Mono,TCM/Day
TRUE,HP,LaserJet M402dn,0.0192,PHBQD42623,10.157.48.119,A0-8C-FD-13-85-EF,leslelx20:/var/lib/jenkins/jobs/gitbuilder2/wor,8/27/2019 5:17:19 PM,8/30/2019 1:18:18 PM,2,2,0,0.0384,0.013549676
FALSE,HP,LaserJet M402dw,0.0192,PHBVF40927,10.157.49.106,B4-B6-86-7B-B1-89,leslelx21:/work/jenkins/gitbuilder/workspace/ph,12/18/2018 5:17:37 PM,10/10/2019 1:18:34 PM,7802,7802,0,149.7984,0.50635966
FALSE,HP,LaserJet M402dw,0.0192,PHBVF40930,10.157.49.104,B4-B6-86-7B-B1-D0,leslelx21:/work/jenkins/gitbuilder/workspace/ph,3/28/2019 5:17:25 PM,8/29/2019 9:17:41 AM,461,461,0,8.8512,0.057599931
FALSE,HP,LaserJet M402dw,0.0192,PHBVF40932,10.157.57.59,B4-B6-86-7B-B1-84,leslelx21:/work/jenkins/gitbuilder/workspace/ph,12/28/2018 5:17:25 PM,10/10/2019 1:18:34 PM,9298,9298,0,178.5216,0.624563619
FALSE,HP,LaserJet M604,0.012,CNDCJBD23W,10.157.49.88,98-E7-F4-08-31-89,2307781_551188,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,94641,94641,,1135.692,3.101565645
FALSE,HP,LaserJet MFP M426fdn,0.0192,PHB8HBW7Z9,10.157.49.71,B0-5A-DA-C4-6B-ED,leslelx24:/var/lib/jenkins/jobs/gitbuilder2/wor,10/9/2018 5:17:46 AM,10/10/2019 1:18:34 PM,91755,91755,0,1761.696,4.808989977
FALSE,HP,LaserJet MFP M426fdn,0.0192,PHB8J16CBW,10.157.53.53,FC-3F-DB-53-2E-EF,leslelx8:/var/lib/jenkins/jobs/gitbuilder/works,10/9/2018 9:17:44 PM,10/10/2019 1:18:34 PM,53632,53632,0,1029.7344,2.816042216
FALSE,HP,LaserJet MFP M426fdn,0.0192,PHB8J1706S,10.157.57.60,FC-3F-DB-53-1E-2A,leslelx8:/var/lib/jenkins/jobs/gitbuilder/works,1/31/2019 9:17:24 PM,10/10/2019 1:18:34 PM,27259,27259,0,523.3728,2.079620325
FALSE,HP,LaserJet MFP M426fdn,0.0192,PHB8J170C9,10.157.49.106,FC-3F-DB-53-1E-12,leslelx8:/var/lib/jenkins/jobs/gitbuilder/works,,,,,,,
FALSE,HP,LaserJet MFP M426fdn,0.0192,PHB8J170NR,10.157.56.53,FC-3F-DB-53-2E-6C,leslelx8:/var/lib/jenkins/jobs/gitbuilder/works,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,22822,22822,0,438.1824,1.197217325
