,Account,ERP Equip ID,Manufacturer,Model,Mono Pages Total AMV,Color Pages Total AMV,CPP B/W,CPP Color,B/W Cost,Color Cost,Total Cost
38,Cache Valley Bank,,HP,LaserJet 400 M401dne,514,0,0.0153,,7.864199999999999,,7.864199999999999
39,Cache Valley Bank,,HP,LaserJet 400 M401dne,134,0,0.0153,,2.0502,,2.0502
40,Cache Valley Bank,27464,HP,LaserJet 400 M401dne,644,0,0.0153,,9.8532,,9.8532
41,Cache Valley Bank,,HP,LaserJet 400 M401dne,205,0,0.0153,,3.1365,,3.1365
42,Cache Valley Bank,,HP,LaserJet 400 M401dne,1252,0,0.0153,,19.1556,,19.1556
43,Cache Valley Bank,,HP,LaserJet 400 M401dne,132,0,0.0153,,2.0196,,2.0196
44,Cache Valley Bank,27713,HP,LaserJet 400 M401dne,350,0,0.0153,,5.3549999999999995,,5.3549999999999995
45,Cache Valley Bank,,HP,LaserJet 400 M401dne,754,0,0.0153,,11.5362,,11.5362
46,Cache Valley Bank,,HP,LaserJet 400 M401dne,2786,0,0.0153,,42.6258,,42.6258
47,Cache Valley Bank,,HP,LaserJet 400 M401dne,135,0,0.0153,,2.0655,,2.0655
48,Cache Valley Bank,PHGFC01004,HP,LaserJet 400 M401dne,1570,0,0.0153,,24.020999999999997,,24.020999999999997
49,Cache Valley Bank,,HP,LaserJet 400 M401dne,158,0,0.0153,,2.4173999999999998,,2.4173999999999998
50,Cache Valley Bank,,HP,LaserJet 400 M401dne,167,0,0.0153,,2.5551,,2.5551
51,Cache Valley Bank,,HP,LaserJet 400 M401dne,1931,0,0.0153,,29.5443,,29.5443
52,Cache Valley Bank,,HP,LaserJet 400 M401dne,126,0,0.0153,,1.9278,,1.9278
53,Cache Valley Bank,,HP,LaserJet 400 M401dne,104,0,0.0153,,1.5912,,1.5912
54,Cache Valley Bank,,HP,LaserJet 400 M401dne,267,0,0.0153,,4.0851,,4.0851
55,Cache Valley Bank,,HP,LaserJet 400 MFP M425dn,188,0,0.0153,,2.8764,,2.8764
56,Cache Valley Bank,,HP,LaserJet 400 MFP M425dn,3317,0,0.0153,,50.750099999999996,,50.750099999999996
57,Cache Valley Bank,,HP,LaserJet 400 MFP M425dn,1617,0,0.0153,,24.740099999999998,,24.740099999999998
58,Cache Valley Bank,CF8G43FBD,HP,LaserJet 400 MFP M425dn,2959,0,0.0153,,45.2727,,45.2727
59,Cache Valley Bank,,HP,LaserJet 400 MFP M425dn,196,0,0.0153,,2.9987999999999997,,2.9987999999999997
60,Cache Valley Bank,,HP,LaserJet 400 MFP M425dn,1774,0,0.0153,,27.1422,,27.1422
61,Cache Valley Bank,,HP,LaserJet 400 MFP M425dn,393,0,0.0153,,6.0129,,6.0129
62,Cache Valley Bank,57432,HP,LaserJet 400 MFP M425dn,6443,0,0.0153,,98.5779,,98.5779
63,Cache Valley Bank,,HP,LaserJet 400 MFP M425dn,134,0,0.0153,,2.0502,,2.0502
64,Cache Valley Bank,CNF8GBFFZP,HP,LaserJet 400 MFP M425dn,2458,0,0.0153,,37.6074,,37.6074
65,Cache Valley Bank,CNB6D5G06X,HP,LaserJet 400 MFP M425dn,1042,0,0.0153,,15.942599999999999,,15.942599999999999
66,Cache Valley Bank,,HP,LaserJet 400 MFP M425dn,989,0,0.0153,,15.131699999999999,,15.131699999999999
67,Cache Valley Bank,25696,HP,LaserJet 400 MFP M425dn,809,0,0.0153,,12.377699999999999,,12.377699999999999
68,Cache Valley Bank,,HP,LaserJet 4250,442,0,0.0095,,4.199,,4.199
69,Cache Valley Bank,,HP,LaserJet 4350,2734,0,0.0095,,25.973,,25.973
70,Cache Valley Bank,4350-CNBXC33078,HP,LaserJet 4350,947,0,0.0095,,8.9965,,8.9965
71,Cache Valley Bank,CNDCH3J0Z4,HP,LaserJet 600 M602,6068,0,0.01,,60.68,,60.68
